aX,aY,aZ,gX,gY,gZ
0.456,-0.895,-0.289,0.854,1.099,-3.052
0.454,-0.896,-0.286,1.221,0.793,-3.418
0.453,-0.899,-0.280,0.916,0.427,-3.906
0.446,-0.903,-0.279,0.366,-0.183,-4.395
0.445,-0.901,-0.278,-0.610,-0.610,-5.249
0.453,-0.898,-0.287,-1.831,-0.610,-6.165
0.459,-0.884,-0.296,-2.197,-0.488,-6.226
0.464,-0.870,-0.305,-2.197,-0.183,-5.676
0.456,-0.855,-0.300,-0.854,-0.610,-4.639
0.452,-0.849,-0.297,1.343,-1.099,-3.662
0.448,-0.851,-0.296,2.930,-1.099,-3.662
1.533,-2.484,-1.094,76.843,101.929,516.663
1.569,-2.468,-1.117,89.966,109.741,497.131
1.628,-2.504,-1.101,108.521,83.130,457.153
1.715,-2.626,-1.107,135.376,60.303,418.457
1.719,-2.726,-1.130,165.100,53.284,387.390
1.577,-2.832,-1.098,186.218,44.495,357.422
1.395,-3.024,-1.037,189.209,29.907,329.407
1.158,-3.046,-0.861,162.720,20.752,309.631
0.917,-2.958,-0.691,117.310,29.602,296.082
0.812,-2.803,-0.590,66.589,53.040,283.386
0.827,-2.631,-0.573,16.968,78.369,268.677
0.854,-2.483,-0.521,-20.020,92.529,250.671
0.690,-2.431,-0.401,-37.659,94.910,228.577
0.633,-2.257,-0.308,-45.105,93.323,201.782
0.615,-2.205,-0.253,-49.072,91.309,173.889
0.561,-2.206,-0.156,-45.837,73.120,136.902
0.529,-2.152,-0.096,-41.138,49.194,103.210
0.495,-2.002,-0.100,-39.917,26.184,76.111
0.433,-1.781,-0.104,-39.795,2.747,54.443
0.376,-1.540,-0.191,-42.114,-13.489,38.025
0.341,-1.346,-0.303,-42.725,-23.621,27.283
0.323,-1.202,-0.406,-36.194,-28.748,21.423
